Year,Day,Race Name,Position,Horse,Jockey,Trainer,SP Fractional
2025,Fri,County Handicap Hurdle,2,Ndaawi,Jack Kennedy,,25/1
2025,Fri,County Handicap Hurdle,3,Absurde,Danny Mullins,,5/1
2025,Fri,Mrs Paddy Power Mares' Chase,1,Dinoblue,Mark Walsh,Willie Mullins,6/4
2025,Fri,Mrs Paddy Power Mares' Chase,2,Brides Hill,Keith Donoghue,,9/2
2025,Fri,Mrs Paddy Power Mares' Chase,3,Shecouldbeanything,Danny Gilligan,,12/1
2025,Fri,Albert Bartlett Novices' Hurdle,1,Jasmin De Vaux,Paul Townend,Willie Mullins,6/1
2025,Fri,Albert Bartlett Novices' Hurdle,2,The Big Westerner,Darragh O'Keeffe,,9/2
2025,Fri,Albert Bartlett Novices' Hurdle,3,Derryhassen Paddy,Derek Fox,,10/1
2025,Fri,Cheltenham Gold Cup,1,Inothewayurthinkin,Mark Walsh,Gavin Cromwell,15/2
2025,Fri,Cheltenham Gold Cup,2,Galopin Des Champs,Paul Townend,Willie Mullins,8/13
2025,Fri,Cheltenham Gold Cup,3,Gentlemansgame,Darragh O'Keeffe,,40/1
2025,Fri,Festival Hunters' Chase,1,Wonderwall,Rob James,Sam Curling,28/1
2025,Fri,Festival Hunters' Chase,2,Its On The Line,Derek O'Connor,,4/1
2025,Fri,Festival Hunters' Chase,3,Willitgoahead,J L Scallan,,13/2
2025,Fri,Martin Pipe Conditional Jockeys' Handicap Hurdle,1,Wodhooh,Danny Gilligan,Gordon Elliott,9/2
2025,Fri,Martin Pipe Conditional Jockeys' Handicap Hurdle,2,Act Of Authority,Lewis Saunders,,28/1
2025,Fri,Martin Pipe Conditional Jockeys' Handicap Hurdle,3,Raglan Road,Gavin Brouder,,25/1

2024,Champion Day,Sky Bet Supreme Novices' Hurdle,1,Slade Steel,Rachael Blackmore,Henry de Bromhead,7/2
2024,Champion Day,Sky Bet Supreme Novices' Hurdle,2,Mystical Power,Mark Walsh,Willie Mullins,100/30
2024,Champion Day,Sky Bet Supreme Novices' Hurdle,3,Firefox,Jack Kennedy,Gordon Elliott,11/2
2024,Champion Day,Arkle Chase,1,Gaelic Warrior,Paul Townend,Willie Mullins,2/1f
2024,Champion Day,Arkle Chase,2,Found A Fifty,Jack Kennedy,Gordon Elliott,13/2
2024,Champion Day,Arkle Chase,3,Il Etait Temps,Danny Mullins,Willie Mullins,7/2
2024,Champion Day,Ultima Handicap Chase,1,Chianti Classico,David Bass,Kim Bailey,6/1
2024,Champion Day,Ultima Handicap Chase,2,Twig,Beau Morgan,Ben Pauling,28/1
2024,Champion Day,Ultima Handicap Chase,3,Meetingofthewaters,Mark Walsh,Willie Mullins,6/1
2024,Champion Day,Close Brothers Mares' Hurdle,1,Lossiemouth,Paul Townend,Willie Mullins,8/13f
2024,Champion Day,Close Brothers Mares' Hurdle,2,Telmesomethinggirl,Rachael Blackmore,Henry de Bromhead,22/1
2024,Champion Day,Close Brothers Mares' Hurdle,3,Hispanic Moon,Darragh O'Keeffe,Henry de Bromhead,40/1
2024,Champion Day,Unibet Champion Hurdle,1,State Man,Paul Townend,Willie Mullins,2/5f
2024,Champion Day,Unibet Champion Hurdle,2,Irish Point,Jack Kennedy,Gordon Elliott,9/2
2024,Champion Day,Unibet Champion Hurdle,3,Luccia,James Bowen,Nicky Henderson,33/1
2024,Champion Day,Boodles Juvenile Handicap Hurdle,1,Lark In The Mornin,J J Slevin,Joseph Patrick O'Brien,9/1
2024,Champion Day,Boodles Juvenile Handicap Hurdle,2,Eagles Reign,Tom Harney,Ross O'Sullivan,80/1
2024,Champion Day,Boodles Juvenile Handicap Hurdle,3,Ndaawi,Jack Kennedy,Gordon Elliott,12/1
2024,Thu,Ryanair Mares' Novices' Hurdle,1,Golden Ace,Lorcan Williams,Jeremy Scott,10/1
2024,Thu,Ryanair Mares' Novices' Hurdle,2,Brighterdaysahead,Jack Kennedy,Gordon Elliott,5/6f
2024,Thu,Ryanair Mares' Novices' Hurdle,3,Birdie Or Bust,Rachael Blackmore,Henry de Bromhead,10/1
2024,Thu,Kim Muir Challenge Cup,1,Inothewayurthinkin,Mr Derek O'Connor,Gavin Cromwell,13/8f
2024,Thu,Kim Muir Challenge Cup,2,Git Maker,Mr William Biddick,Jamie Snowden,28/1
2024,Thu,Kim Muir Challenge Cup,3,Whacker Clan,Mr J L Gleeson,Henry de Bromhead,17/2
2024,Fri,Triumph Hurdle,1,Majborough,Mark Walsh,Willie Mullins,6/1
2024,Fri,Triumph Hurdle,2,Kargese,Danny Mullins,Willie Mullins,4/1
2024,Fri,Triumph Hurdle,3,Salver,Gavin Sheehan,Gary Moore,10/1
2024,Fri,County Handicap Hurdle,1,Absurde,Paul Townend,Willie Mullins,12/1
2024,Fri,County Handicap Hurdle,2,L'Eau du Sud,Harry Skelton,Dan Skelton,7/2f
2024,Fri,County Handicap Hurdle,3,Pied Piper,Danny Gilligan,Gordon Elliott,14/1
2024,Fri,Albert Bartlett Novices' Hurdle,1,Stellar Story,Sam Ewing,Gordon Elliott,33/1
2024,Fri,Albert Bartlett Novices' Hurdle,2,The Jukebox Man,Kielan Woods,Ben Pauling,18/1
2024,Fri,Albert Bartlett Novices' Hurdle,3,Dancing City,Danny Mullins,Willie Mullins,8/1
2024,Fri,Cheltenham Gold Cup,1,Galopin Des Champs,Paul Townend,Willie Mullins,10/11f
2024,Fri,Cheltenham Gold Cup,2,Gerri Colombe,Jack Kennedy,Gordon Elliott,13/2
2024,Fri,Cheltenham Gold Cup,3,Corach Rambler,Derek Fox,Lucinda Russell,14/1

